AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
Newton,THEFT OF IDENTITY,57,M,H,CYBERSPACE,undefined,Invest Cont,20,Friday,0,Evening,0,168.0,4,0,9,-0.8660254037844386,0.5000000000000001
Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,F,H,PARKING LOT,undefined,Invest Cont,14,Thursday,0,Afternoon,0,0.0,8,1,18,-0.4999999999999997,-0.8660254037844388
Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),36,F,B,DRIVEWAY,undefined,Invest Cont,7,Saturday,1,Morning,0,0.0,2,0,12,0.9659258262890683,-0.25881904510252063
Olympic,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",21,F,H,OTHER BUSINESS,undefined,Invest Cont,10,Monday,0,Morning,0,0.0,11,0,6,0.49999999999999994,-0.8660254037844387
West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,47,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,0,Saturday,1,Night,1,0.0,4,0,3,0.0,1.0
Topanga,VEHICLE - ATTEMPT STOLEN,56,M,W,STREET,undefined,Invest Cont,19,Friday,0,Evening,0,24.0,3,1,16,-0.9659258262890684,0.2588190451025203
Mission,"BUNCO, GRAND THEFT",24,F,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,14,Saturday,1,Afternoon,0,144.0,3,0,19,-0.4999999999999997,-0.8660254037844388
West LA,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),23,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,22,Saturday,1,Night,1,72.0,6,0,12,-0.5000000000000004,0.8660254037844384
Mission,VIOLATION OF RESTRAINING ORDER,66,F,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,13,Friday,0,Afternoon,0,0.0,3,0,2,-0.2588190451025208,-0.9659258262890683
Harbor,BATTERY - SIMPLE ASSAULT,36,M,B,OTHER PREMISE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,0,Wednesday,0,Night,1,0.0,9,0,5,0.0,1.0
Northeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),32,M,O,STREET,undefined,Invest Cont,1,Monday,0,Night,1,360.0,5,1,6,0.25881904510252074,0.9659258262890683
West Valley,BATTERY - SIMPLE ASSAULT,31,F,O,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,15,Sunday,1,Afternoon,0,0.0,11,0,3,-0.7071067811865471,-0.7071067811865479
Southwest,CRIMINAL THREATS - NO WEAPON DISPLAYED,34,M,B,SIDEWALK,TOY GUN,Adult Other,16,Saturday,1,Afternoon,0,0.0,6,0,0,-0.8660254037844385,-0.5000000000000004
Foothill,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",45,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,13,Friday,0,Afternoon,0,24.0,12,0,19,-0.2588190451025208,-0.9659258262890683
West LA,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",37,M,W,OTHER BUSINESS,undefined,Invest Cont,17,Monday,0,Afternoon,0,0.0,1,0,10,-0.9659258262890683,-0.25881904510252063
Central,BIKE - STOLEN,64,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,10,Wednesday,0,Morning,0,264.0,9,0,9,0.49999999999999994,-0.8660254037844387
Northeast,VIOLATION OF RESTRAINING ORDER,59,F,H,PARKING LOT,undefined,Adult Other,11,Monday,0,Morning,0,24.0,1,0,14,0.258819045102521,-0.9659258262890682
Central,TRESPASSING,0,M,O,LA UNION STATION (NOT LINE SPECIFIC),undefined,Invest Cont,6,Wednesday,0,Morning,0,0.0,7,0,9,1.0,6.123233995736766e-17
Mission,INTIMATE PARTNER - SIMPLE ASSAULT,20,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,21,Monday,0,Evening,0,0.0,6,1,19,-0.7071067811865477,0.7071067811865474
Southwest,VIOLATION OF RESTRAINING ORDER,62,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,11,Wednesday,0,Morning,0,0.0,3,0,12,0.258819045102521,-0.9659258262890682
Hollywood,ROBBERY,58,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,18,Saturday,1,Evening,0,0.0,5,0,6,-1.0,-1.8369701987210297e-16
Northeast,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,M,W,GARAGE/CARPORT,undefined,Invest Cont,23,Sunday,1,Night,1,96.0,11,0,6,-0.25881904510252157,0.9659258262890681
N Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,22,Saturday,1,Night,1,0.0,7,0,11,-0.5000000000000004,0.8660254037844384
Olympic,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",27,F,H,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,23,Thursday,0,Night,1,24.0,12,1,6,-0.25881904510252157,0.9659258262890681
Central,BATTERY - SIMPLE ASSAULT,31,M,A,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4,Tuesday,0,Night,1,0.0,5,0,9,0.8660254037844386,0.5000000000000001
Central,BATTERY WITH SEXUAL CONTACT,19,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,19,Monday,0,Evening,0,24.0,8,1,9,-0.9659258262890684,0.2588190451025203
N Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),46,M,H,RESTAURANT/FAST FOOD,undefined,Invest Cont,23,Saturday,1,Night,1,24.0,1,0,8,-0.25881904510252157,0.9659258262890681
Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,M,W,OTHER/OUTSIDE,STICK,Invest Cont,17,Tuesday,0,Afternoon,0,0.0,4,1,9,-0.9659258262890683,-0.25881904510252063
Olympic,LEWD CONDUCT,27,F,H,YARD (RESIDENTIAL/BUSINESS),undefined,Adult Other,12,Wednesday,0,Afternoon,0,96.0,1,0,6,1.2246467991473532e-16,-1.0
Mission,CHILD PORNOGRAPHY,40,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,8,Wednesday,0,Morning,0,0.0,4,0,2,0.8660254037844387,-0.4999999999999998
Central,PICKPOCKET,25,F,H,BAR/COCKTAIL/NIGHTCLUB,undefined,Invest Cont,1,Sunday,1,Night,1,24.0,9,0,9,0.25881904510252074,0.9659258262890683
